External ID;Creation Date;Display Name;Order Lines/Product/Internal Reference;Order Lines/Description;Order Lines/Quantity;Order Lines/Margin;Order Lines/Unit Price;Salesperson/Display Name;Payment Status;Delivery Status
__export__.sale_order_53613_13f300c4;44375,62402;SO-INS-145213;AMP-B091;[AMP-B091] Датчик вибрации (Troyka-модуль);1;355,002;740;InSales;Fully Paid;Fully Shipped
;;;DLV-OFFICE;Самовывоз из магазина;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
__export__.sale_order_53611_77cfe42c;44375,61589;SO-INS-145212;A000066;[A000066] Arduino Uno;1;676,376;2140;InSales;Fully Paid;Fully Shipped
;;;AMP-B125;[AMP-B125] Troyka Slot Shield V2;1;338,003;580;;;
;;;AMP-X041;[AMP-X041] Гнездо питания 2,1 мм с клеммником;1;70,279;100;;;
;;;AMP-B004;[AMP-B004] Датчик освещённости (Troyka-модуль);1;68,16;130;;;
;;;AMP-B009;[AMP-B009] Кнопка (Troyka-модуль);2;142,523;130;;;
;;;AMP-B077-R;[AMP-B077-R] Кнопка со светодиодом (Troyka-модуль);1;155,001;260;;;
;;;AMP-RV10K;[AMP-RV10K] Потенциометр стационарный 10 кОм;1;53,468;80;;;
;;;AMP-B062-G;[AMP-B062-G] Светодиод 5 мм (Troyka-модуль);1;93,705;170;;;
;;;AMP-B062-R;[AMP-B062-R] Светодиод 5 мм (Troyka-модуль);1;101,278;170;;;
;;;AMP-B160;[AMP-B160] Силовой ключ P-Channel (Troyka-модуль);1;184,818;360;;;
;;;AMP-X056;[AMP-X056] Штекер питания 2,1 мм с клеммником;1;99,101;130;;;
;;;DLV-AX;Доставка курьером по Москве;1;250;250;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
__export__.sale_order_53610_543760da;44375,59694;SO-INS-145211;AMP-E039;[AMP-E039] Raspberry Pi Pico (без ног);3;636,651;690;InSales;Fully Paid;Fully Shipped
;;;AMP-X500;[AMP-X500] Вентилятор охлаждения (30×30×8 мм);1;148,627;290;;;
;;;AMP-X013;[AMP-X013] Вилка штыревая / прямая / 1×40;5;69,268;20;;;
;;;DLV-AX;Доставка курьером по Москве;1;250;250;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
__export__.sale_order_53609_4d851b3e;44375,59323;SO-INS-145210;AMP-X574;[AMP-X574] Магнитный коврик для CR-10;1;455,914;1690;InSales;Fully Paid;Fully Shipped
;;;AMP-X593;[AMP-X593] Тефлоновая трубка PTFE / 4 мм / 1 м;1;445,142;940;;;
;;;DLV-AX;Доставка курьером по Москве;1;250;250;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
__export__.sale_order_53607_12c0b62c;44375,56078;SO-INS-145209;AMP-B097;[AMP-B097] AC/DC (Zelo-модуль);3;2414,995;1390;InSales;Fully Paid;Fully Shipped
;;;AMP-B102;[AMP-B102] Nano Switch;4;454,407;260;;;
;;;AMP-X205;[AMP-X205] Четырёхкнопочная клавиатура;2;159,479;140;;;
